code,name,tipo,titularidad,titular,mncp,dircc,tlf,fax,web,email,jornada
28045608,,,,,,,,,,,
28021562,,,,,,,,,,,
28020910,"IES ""JUAN DE LA CIERVA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de la caoba 1, 28005, Madrid (Arganzuela).",915064610,914670167,http://www.educa.madrid.org/ies.juandelacierva.madrid,ies.juandelacierva.madrid@educa.madrid.org,Jornada continua
28037201,,,,,,,,,,,
28018502,"CP INF-PRI ""CIUDAD DE GUADALAJARA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del bergantín 13, 28042, Madrid (Barajas).",917470938,917472064,http://www.educa.madrid.org/cp.ciudaddeguadalajara.madrid,cp.ciudaddeguadalajara.madrid@educa.madrid.org,Jornada partida
28018708,,,,,,,,,,,
28074578,"CP INF-PRI ""MARGARET THATCHER""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"glorieta de la playa de san lorenzo s/n, 28042, Madrid (Barajas).",913056086,913055404,http://www.educa.madrid.org/cp.margaretthatcher.madrid,cp.margaretthatcher.madrid@educa.madrid.org,Jornada partida
28079424,,,,,,,,,,,
28033539,"IES ""ALAMEDA DE OSUNA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de antonio sancha 11, 28042, Madrid (Barajas).",912761560,913291525,http://www.educa.madrid.org/ies.alamedadeosuna.madrid,ies.alamedadeosuna.madrid@educa.madrid.org,Jornada continua
28043651,,,,,,,,,,,
28005039,"CP INF-PRI ""ANTONIO MACHADO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de allariz 3, 28044, Madrid (Carabanchel).",915088661,914006788,http://www.educa.madrid.org/cp.machado.madrid,cp.machado.madrid@educa.madrid.org,Jornada continua
28006469,"CP INF-PRI ""ARCIPRESTE DE HITA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de antonio moreno 25, 28025, Madrid (Carabanchel).",915605495,914605635,http://www.educa.madrid.org/cp.arciprestedehita.madrid,cp.arciprestedehita.madrid@educa.madrid.org,Jornada continua
28005179,,,,,,,,,,,
28010497,,,,,,,,,,,
28006111,"CP INF-PRI ""GONZALO DE BERCEO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de abrantes 5, 28025, Madrid (Carabanchel).",915697225,914692174,http://www.educa.madrid.org/cp.gonzalodeberceo.madrid,cp.gonzalodeberceo.madrid@educa.madrid.org,Jornada continua
28005477,"CP INF-PRI ""HAITI""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de guabairo 22, 28047, Madrid (Carabanchel).",914220250,914651108,http://www.educa.madrid.org/cp.haiti.madrid,cp.haiti.madrid@educa.madrid.org,Jornada continua
28005568,"CP INF-PRI ""ISAAC PERAL""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"glorieta de rufino novalvos 5, 28025, Madrid (Carabanchel).",914726780,,http://www.educa.madrid.org/cp.isaacperal.madrid,cp.isaacperal.madrid@educa.madrid.org,Jornada continua
28031488,,,,,,,,,,,
28010783,"CP INF-PRI ""LOPE DE VEGA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de inglaterra 8, 28019, Madrid (Carabanchel).",914710955,914721124,http://www.educa.madrid.org/cp.lopedevega.madrid,cp.lopedevega.madrid@educa.madrid.org,Jornada partida
28072466,,,,,,,,,,,
28031051,,,,,,,,,,,
28035548,,,,,,,,,,,
28006056,,,,,,,,,,,
28063763,,,,,,,,,,,
28010965,"CP INF-PRI ""REPUBLICA DE COLOMBIA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"plaza de alloz 3, 28025, Madrid (Carabanchel).",914650587,914650587,http://www.educa.madrid.org/cp.colombia.madrid,cp.colombia.madrid@educa.madrid.org,Jornada continua
28006172,,,,,,,,,,,
28006160,"CP INF-PRI ""REPUBLICA DOMINICANA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"ronda de don bosco 2, 28044, Madrid (Carabanchel).",914629060,914662819,http://www.educa.madrid.org/cp.republicadominicana.madrid,cp.republicadominicana.madrid@educa.madrid.org,Jornada continua
28006305,"CP INF-PRI ""SAN IGNACIO DE LOYOLA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de abrantes 1, 28025, Madrid (Carabanchel).",915651989,914698461,http://www.educa.madrid.org/cp.sanignacio.madrid,cp.sanignacio.madrid@educa.madrid.org,Jornada continua
28029664,,,,,,,,,,,
28005556,,,,,,,,,,,
28045293,"CEPA ""OPORTO""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de oporto 46-48, 28019, Madrid (Carabanchel).",915608402,914697543,http://www.educa.madrid.org/cepa.oporto.madrid,cepa.oporto.madrid@educa.madrid.org,Sin tipo de jornada identificada
28042929,"CEPA ""PAN BENDITO""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del camino viejo de leganés 188, 28025, Madrid (Carabanchel).",915600590,914608833,http://www.educa.madrid.org/cepa.panbendito.madrid,cepa.panbendito.madrid@educa.madrid.org,Sin tipo de jornada identificada
28044501,,,,,,,,,,,
28056114,"UFIL ""PUERTA BONITA""",UNIDAD DE FORMACIÓN E INSERCIÓN LABORAL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del padre amigo 5, 28025, Madrid (Carabanchel).",915251402,914285751,http://www.educa.madrid.org/ufil.puertabonita.madrid,ufil.puertabonita.madrid@educa.madrid.org,Sin tipo de jornada identificada
28701081,,,,,,,,,,,
28020961,,,,,,,,,,,
28018435,,,,,,,,,,,
28020958,,,,,,,,,,,
28074918,"IES ""FRANCISCO AYALA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del jacobeo 33, 28054, Madrid (Carabanchel).",915116804,915080647,http://www.educa.madrid.org/ies.franciscoayala.madrid,ies.franciscoayala.madrid@educa.madrid.org,Sin tipo de jornada identificada
28048282,,,,,,,,,,,
28057271,"IES ""RENACIMIENTO""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de castellflorite 4, 28019, Madrid (Carabanchel).",914615211,915256849,http://www.educa.madrid.org/ies.renacimiento.madrid,ies.renacimiento.madrid@educa.madrid.org,Jornada continua
28021008,"IES ""VISTA ALEGRE""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del general ricardos 177, 28025, Madrid (Carabanchel).",914628600,915258200,http://www.educa.madrid.org/ies.vistaalegre.madrid,ies.vistaalegre.madrid@educa.madrid.org,Jornada continua
28010874,"CP INF-PRI ""ANTONIO MORENO ROSALES""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del olmo 4, 28012, Madrid (Centro).",680694982,,http://www.educa.madrid.org/cp.antoniomorenoro.madrid,cp.antoniomorenoro.madrid@educa.madrid.org,Jornada partida
28005349,"CP INF-PRI ""EMILIA PARDO BAZAN""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del ventorrillo 14, 28005, Madrid (Centro).",915306059,,http://www.educa.madrid.org/cp.pardobazan.madrid,cp.pardobazan.madrid@educa.madrid.org,Jornada continua
28010710,,,,,,,,,,,
28013309,,,,,,,,,,,
28010916,,,,,,,,,,,
28010679,,,,,,,,,,,
28006317,"CP INF-PRI ""SAN ILDEFONSO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,AYUNTAMIENTO,Madrid-Capital,"calle de alfonso vi 1, 28005, Madrid (Centro).",913643923,913641170,http://www.educa.madrid.org/cp.sanildefonso.madrid,cp.sanildefonso.madrid@educa.madrid.org,Jornada partida
28006381,,,,,,,,,,,
28011040,,,,,,,,,,,
28059361,"CEPA ""DISTRITO CENTRO""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de san bernardo (edificio i.e.s lope de vega) 70, piso: 2º, 28015, Madrid (Centro).",915329959,915329959,http://www.educa.madrid.org/cepa.centro.madrid,cepa.centro.madrid@educa.madrid.org,Sin tipo de jornada identificada
28020934,"IES ""CARDENAL CISNEROS""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de los reyes 4, 28015, Madrid (Centro).",915224869,915216372,http://www.educa.madrid.org/ies.cardenalcisnero.madrid,ies.cardenalcisnero.madrid@educa.madrid.org,Jornada continua
28004059,,,,,,,,,,,
28019889,"IES ""LOPE DE VEGA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de san bernardo 70, 28015, Madrid (Centro).",915321362,915320248,http://www.educa.madrid.org/ies.lopedevega.madrid,ies.lopedevega.madrid@educa.madrid.org,Jornada continua
28020946,"IES ""SAN ISIDRO""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de toledo 39, 28005, Madrid (Centro).",913651271,913656833,http://www.educa.madrid.org/ies.sanisidro.madrid,ies.sanisidro.madrid@educa.madrid.org,Jornada continua
28018344,"IES ""SANTA TERESA DE JESUS""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del fomento 9, 28013, Madrid (Centro).",915415996,915418034,http://www.educa.madrid.org/ies.santateresa.madrid,ies.santateresa.madrid@educa.madrid.org,Jornada continua
28700209,,,,,,,,,,,
28047691,,,,,,,,,,,
28021124,"CP INF-PRI ""ARQUITECTO GAUDI""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de rosa jardón 10, 28016, Madrid (Chamartín).",913506564,913506564,http://www.educa.madrid.org/cp.arquitectogaudi.madrid,cp.arquitectogaudi.madrid@educa.madrid.org,Jornada partida
28004552,"CP INF-PRI ""ISAAC ALBENIZ""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de la drácena 29, 28016, Madrid (Chamartín).",913596972,913596972,http://www.educa.madrid.org/cp.albeniz.madrid,cp.albeniz.madrid@educa.madrid.org,Jornada partida
28005571,"CP INF-PRI ""LUIS BELLO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de luis cabrera 66, 28002, Madrid (Chamartín).",912205533,912205535,http://www.educa.madrid.org/cp.luisbello.madrid,cp.luisbello.madrid@educa.madrid.org,Jornada continua
28006020,,,,,,,,,,,
28010931,,,,,,,,,,,
28021045,"CP INF-PRI ""PINTOR ROSALES""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del príncipe de vergara 139, 28002, Madrid (Chamartín).",915623948,915638730,http://www.educa.madrid.org/cp.pintorrosales.madrid,cp.pintorrosales.madrid@educa.madrid.org,Jornada partida
28006123,"CP INF-PRI ""RAMIRO DE MAEZTU""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de serrano 127, 28006, Madrid (Chamartín).",915616249,915647056,http://www.educa.madrid.org/cp.ramirodemaeztu.madrid,cp.ramirodemaeztu.madrid@educa.madrid.org,Jornada partida
28006354,"CP INF-PRI ""SAN JUAN DE LA CRUZ""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de honduras 10, 28016, Madrid (Chamartín).",913453044,913509861,http://www.educa.madrid.org/cp.sanjuandelacruz.madrid,cp.sanjuandelacruz.madrid@educa.madrid.org,Jornada partida
28042656,,,,,,,,,,,
28028672,,,,,,,,,,,
28043715,"EEI ""VALLEHERMOSO""",ESCUELA INFANTIL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de fernández de los ríos 42, 28015, Madrid (Chamberí).",915941326,915941326,http://www.educa.madrid.org/eei.vallehermoso.madrid,eei.vallehermoso.madrid@educa.madrid.org,Jornada continua
28005210,,,,,,,,,,,
28005258,"CP INF-PRI ""CLAUDIO MOYANO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de cea bermúdez 26, 28003, Madrid (Chamberí).",915335718,915345924,http://www.educa.madrid.org/cp.claudiomoyano.madrid,cp.claudiomoyano.madrid@educa.madrid.org,Jornada partida
28005076,"CP INF-PRI ""DE PRACTICAS ASUNCION RINCON""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de filipinas 5, 28003, Madrid (Chamberí).",915542118,915345120,http://www.educa.madrid.org/cp.asuncionrincon.madrid,cp.asuncionrincon.madrid@educa.madrid.org,Jornada partida
28010618,"CP INF-PRI ""FERNANDO EL CATOLICO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de fernando el católico 16, 28015, Madrid (Chamberí).",914442902,914469251,http://www.educa.madrid.org/cp.fernandoelcatolico.madrid,cp.fernandoelcatolico.madrid@educa.madrid.org,Jornada partida
28006238,"CP INF-PRI ""RUFINO BLANCO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del general álvarez de castro 46, 28010, Madrid (Chamberí).",914484083,915944701,http://www.educa.madrid.org/cp.rufinoblanco.madrid,cp.rufinoblanco.madrid@educa.madrid.org,Jornada partida
28010990,"CP INF-PRI ""SAN CRISTOBAL""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de bravo murillo 39, 28015, Madrid (Chamberí).",914481381,914480206,http://www.educa.madrid.org/cp.sancristobal.madrid,cp.sancristobal.madrid@educa.madrid.org,Jornada partida
28030137,"IES ""FORTUNY""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de fortuny 24, 28010, Madrid (Chamberí).",913101839,913087018,http://www.educa.madrid.org/ies.fortuny.madrid,ies.fortuny.madrid@educa.madrid.org,Jornada continua
28038379,"IES ""ISLAS FILIPINAS""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de jesús maestro 3, 28003, Madrid (Chamberí).",915544349,915537592,http://www.educa.madrid.org/ies.islasfilipinas.madrid,ies.islasfilipinas.madrid@educa.madrid.org,Jornada continua
28018903,"IES ""JOAQUÍN TURINA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de guzmán el bueno 92, 28003, Madrid (Chamberí).",915539625,915336253,http://www.educa.madrid.org/ies.joaquinturina.madrid,ies.joaquinturina.madrid@educa.madrid.org,Jornada continua
28034441,"IES ""SAN ISIDORO DE SEVILLA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"plaza del marqués de comillas 1, 28040, Madrid (Chamberí).",915330607,915330337,http://www.educa.madrid.org/ies.sanisidoro.madrid,ies.sanisidoro.madrid@educa.madrid.org,Jornada continua
28018368,,,,,,,,,,,
28043533,,,,,,,,,,,
28043600,"EEI ""EL PILAR""",ESCUELA INFANTIL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de siena 38, 28027, Madrid (Ciudad Lineal).",914036749,914036749,http://www.educa.madrid.org/eei.elpilar.madrid,eei.elpilar.madrid@educa.madrid.org,Jornada continua
28010461,,,,,,,,,,,
28005261,"CP INF-PRI ""CONDE DE ROMANONES""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del elfo 143, 28027, Madrid (Ciudad Lineal).",913673655,914080947,http://www.educa.madrid.org/cp.condederomanones.madrid,cp.condederomanones.madrid@educa.madrid.org,Jornada continua
28031804,"CP INF-PRI ""GANDHI""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de gandhi 10, 28017, Madrid (Ciudad Lineal).",917544592,913045222,http://www.educa.madrid.org/cp.gandhi.madrid,cp.gandhi.madrid@educa.madrid.org,Jornada continua
28005465,"CP INF-PRI ""GUSTAVO ADOLFO BECQUER""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de santa genoveva 32, 28017, Madrid (Ciudad Lineal).",914051507,914053498,http://www.educa.madrid.org/cp.becquer.madrid,cp.becquer.madrid@educa.madrid.org,Jornada continua
28021306,,,,,,,,,,,
28010898,"CP INF-PRI ""LEOPOLDO ALAS""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de pedrezuela 18, 28017, Madrid (Ciudad Lineal).",914033755,914042281,http://www.educa.madrid.org/cp.leopoldoalas.madrid,cp.leopoldoalas.madrid@educa.madrid.org,Jornada continua
28005866,"CP INF-PRI ""MEJICO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de badajoz 74, 28027, Madrid (Ciudad Lineal).",914035744,914045880,http://www.educa.madrid.org/cp.mejico.madrid,cp.mejico.madrid@educa.madrid.org,Jornada partida
28010849,"CP INF-PRI ""MIGUEL BLASCO VILATELA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de los hermanos garcía noblejas 70, 28017, Madrid (Ciudad Lineal).",913043999,,http://www.educa.madrid.org/cp.blascovilatela.madrid,cp.blascovilatela.madrid@educa.madrid.org,Jornada continua
28005945,,,,,,,,,,,
28019658,,,,,,,,,,,
28030472,,,,,,,,,,,
28011015,"CP INF-PRI ""SAN JUAN BOSCO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de santa irene 2, 28017, Madrid (Ciudad Lineal).",914053610,914043233,http://www.educa.madrid.org/cp.sanjuanbosco.madrid,cp.sanjuanbosco.madrid@educa.madrid.org,Jornada continua
28036942,"CP EE ""INFANTA ELENA""",COLEGIO DE EDUCACIÓN ESPECIAL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de badajoz 76, 28027, Madrid (Ciudad Lineal).",914038345,914048312,http://www.educa.madrid.org/cpee.infantaelena.madrid,cpee.infantaelena.madrid@educa.madrid.org,Jornada partida
28045271,"CEPA ""CIUDAD LINEAL""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle hnos garcía noblejas (acceso por luis campos) 70, 28017, Madrid (Ciudad Lineal).",917545206,913045783,http://www.educa.madrid.org/cepa.ciudadlineal.madrid,cepa.ciudadlineal.madrid@educa.madrid.org,Sin tipo de jornada identificada
28030991,"CP IFP ""BARRIO DE BILBAO""",CENTRO PÚBLICO INTEGRADO DE FORMACIÓN PROFESIONAL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de villaescusa 19, 28017, Madrid (Ciudad Lineal).",913041018,917542920,http://www.educa.madrid.org/cifp.barriodebilbao.madrid,cifp.barriodebilbao.madrid@educa.madrid.org,Jornada continua
28045633,"IES ""FRANCISCO DE GOYA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de santa irene 4, 28017, Madrid (Ciudad Lineal).",914051101,914051597,http://www.educa.madrid.org/ies.goya.madrid,ies.goya.madrid@educa.madrid.org,Jornada continua
28030162,,,,,,,,,,,
28039876,,,,,,,,,,,
28043466,"EEI ""EL BELEN""",ESCUELA INFANTIL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de braille 23, 28034, Madrid (Fuencarral-El Pardo).",917341043,917341043,http://www.educa.madrid.org/eei.elbelen.madrid,eei.elbelen.madrid@educa.madrid.org,Jornada continua
28038318,"CP INF-PRI ""ALHAMBRA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de ramón gómez de la serna 103, 28035, Madrid (Fuencarral-El Pardo).",913162273,913737021,http://www.educa.madrid.org/cp.alhambra.madrid,cp.alhambra.madrid@educa.madrid.org,Jornada partida
28072478,"CP INF-PRI ""ANTONIO FONTAN""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida santuario de valverde c/v monasterio arlanza s/n, 28049, Madrid (Fuencarral-El Pardo).",911722243,,http://www.educa.madrid.org/cp.antoniofontan.madrid,cp.antoniofontan.madrid@educa.madrid.org,Jornada partida
28075777,"CP INF-PRI-SEC ""BLAS DE LEZO""","COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de fromista 27, 28050, Madrid (Fuencarral-El Pardo).",912761564,917031658,http://www.educa.madrid.org/cp.blasdelezo.madrid,cp.blasdelezo.madrid@educa.madrid.org,Jornada partida
28021331,"CP INF-PRI ""BRAVO MURILLO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de las islas cíes 11, 28035, Madrid (Fuencarral-El Pardo).",917385793,917385793,http://www.educa.madrid.org/cp.bravomurillo.madrid,cp.bravomurillo.madrid@educa.madrid.org,Jornada continua
28031063,"CP INF-PRI ""BREOGAN""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de ginzo de limia 2, 28029, Madrid (Fuencarral-El Pardo).",917304040,917396184,http://www.educa.madrid.org/cp.breogan.madrid,cp.breogan.madrid@educa.madrid.org,Jornada partida
28041755,"CP INF-PRI ""CAMILO JOSE CELA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de melchor fernández almagro 22, 28029, Madrid (Fuencarral-El Pardo).",917392424,913781507,http://www.educa.madrid.org/cp.cela.madrid,cp.cela.madrid@educa.madrid.org,Jornada partida
28030198,"CP INF-PRI ""CARDENAL HERRERA ORIA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de fermín caballero 68, 28034, Madrid (Fuencarral-El Pardo).",913781613,,http://www.educa.madrid.org/cp.cardenalherrera.madrid,cp.cardenalherrera.madrid@educa.madrid.org,Jornada partida
28033928,"CP INF-PRI ""COMPLEJO ESCOLAR PRINCIPE FELIPE""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de monforte de lemos 24, 28029, Madrid (Fuencarral-El Pardo).",913146819,913232548,http://www.educa.madrid.org/cp.principefelipe.madrid,cp.principefelipe.madrid@educa.madrid.org,Jornada continua
28063775,"CP INF-PRI ""GABRIELA MISTRAL""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de mirallos 3, 28050, Madrid (Fuencarral-El Pardo).",913586549,913586557,http://www.educa.madrid.org/cp.gabrielamistral.madrid,cp.gabrielamistral.madrid@educa.madrid.org,Jornada partida
