code,name,tipo,titularidad,titular,territorio,dircc,tlf,fax,web,email,jornada,mncp,etps_educ,dist_coche,dist_trns_pub,dist_andnd,dist_coche_min,dist_trns_pub_min,dist_andnd_min
28021562,"IES ""GRAN CAPITÁN""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,MINISTERIO DE DEFENSA,Madrid-Capital,"paseo de los melancólicos 51, 28005, Madrid (Arganzuela).",913659190/913655012,913540091,http://www.educa.madrid.org/ies.grancapitan.madrid,ies.grancapitan.madrid@educa.madrid.org,Jornada continua,Madrid(Arganzuela),ESO - Bach,11 min,57 min,1 h y 27,11,57,87
28020910,"IES ""JUAN DE LA CIERVA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de la caoba 1, 28005, Madrid (Arganzuela).",915064610,914670167,http://www.educa.madrid.org/ies.juandelacierva.madrid,ies.juandelacierva.madrid@educa.madrid.org,Jornada continua,Madrid(Arganzuela),ESO - Bach - FPB FPGM - FPGS,12 min,34 min,1 h y 10,12,34,70
28037201,"CP INF-PRI ""CALDERON DE LA BARCA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de calderón 2, 28042, Madrid (Barajas).",917472465/626848368,917473130,http://www.educa.madrid.org/cp.calderondelabarca.madrid,cp.calderondelabarca.madrid@educa.madrid.org,Jornada partida,Madrid(Barajas),InfII - Pri,12 min,1 h y 7,2 h y 28,12,67,148
28018502,"CP INF-PRI ""CIUDAD DE GUADALAJARA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del bergantín 13, 28042, Madrid (Barajas).",917470938,917472064,http://www.educa.madrid.org/cp.ciudaddeguadalajara.madrid,cp.ciudaddeguadalajara.madrid@educa.madrid.org,Jornada partida,Madrid(Barajas),InfII - Pri,11 min,46 min,2 h y 10,11,46,130
28018708,"CP INF-PRI ""CIUDAD DE ZARAGOZA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de manuel aguilar muñoz 1, 28042, Madrid (Barajas).",913293756/917477420,912406061,http://www.educa.madrid.org/cp.ciudaddezaragoz.madrid,cp.ciudaddezaragoz.madrid@educa.madrid.org,Jornada partida,Madrid(Barajas),InfII - Pri,12 min,47 min,2 h y 5,12,47,125
28074578,"CP INF-PRI ""MARGARET THATCHER""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"glorieta de la playa de san lorenzo s/n, 28042, Madrid (Barajas).",913056086,913055404,http://www.educa.madrid.org/cp.margaretthatcher.madrid,cp.margaretthatcher.madrid@educa.madrid.org,Jornada partida,Madrid(Barajas),InfII - Pri,14 min,1 h y 24,2 h y 24,14,84,144
28079424,"CP INF-PRI ""NURIA ESPERT""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de maría reiche 34, 28055, Madrid (Hortaleza).",686545008/686545008,,http://www.educa.madrid.org/cp.nuriaespert.madrid,cp.nuriaespert.madrid@educa.madrid.org,Jornada partida,Madrid(Hortaleza),InfII - Pri,16 min,1 h y 5,2 h y 48,16,65,168
28033539,"IES ""ALAMEDA DE OSUNA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de antonio sancha 11, 28042, Madrid (Barajas).",912761560,913291525,http://www.educa.madrid.org/ies.alamedadeosuna.madrid,ies.alamedadeosuna.madrid@educa.madrid.org,Jornada continua,Madrid(Barajas),ESO - Bach - PProf,14 min,46 min,2 h y 6,14,46,126
28043651,"EEI ""ROGER DE FLOR""",ESCUELA INFANTIL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"plaza de roger de flor 18, 28019, Madrid (Carabanchel).",914717774/630823862,914717774,http://www.educa.madrid.org/eei.rogerdeflor.madrid,eei.rogerdeflor.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfI,15 min,47 min,1 h y 52,15,47,112
28005039,"CP INF-PRI ""ANTONIO MACHADO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de allariz 3, 28044, Madrid (Carabanchel).",915088661,914006788,http://www.educa.madrid.org/cp.machado.madrid,cp.machado.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,15 min,54 min,2 h y 39,15,54,159
28006469,"CP INF-PRI ""ARCIPRESTE DE HITA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de antonio moreno 25, 28025, Madrid (Carabanchel).",915605495,914605635,http://www.educa.madrid.org/cp.arciprestedehita.madrid,cp.arciprestedehita.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,15 min,37 min,1 h y 52,15,37,112
28005179,"CP INF-PRI ""CAPITAN CORTES""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de monseñor oscar romero 17, 28025, Madrid (Carabanchel).",914628662/914619130,914619130,http://www.educa.madrid.org/cp.capitancortes.madrid,cp.capitancortes.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,20 min,49 min,2 h y 11,20,49,131
28010497,"CP INF-PRI ""CONCEPCION ARENAL""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de antonio lópez 1, 28019, Madrid (Carabanchel).",915652702/628470651,915650097,http://www.educa.madrid.org/cp.concepcionarenal.madrid,cp.concepcionarenal.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,11 min,52 min,1 h y 25,11,52,85
28006111,"CP INF-PRI ""GONZALO DE BERCEO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de abrantes 5, 28025, Madrid (Carabanchel).",915697225,914692174,http://www.educa.madrid.org/cp.gonzalodeberceo.madrid,cp.gonzalodeberceo.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,13 min,37 min,1 h y 46,13,37,106
28005477,"CP INF-PRI ""HAITI""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de guabairo 22, 28047, Madrid (Carabanchel).",914220250,914651108,http://www.educa.madrid.org/cp.haiti.madrid,cp.haiti.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,20 min,1 h y 2,2 h y 13,20,62,133
28005568,"CP INF-PRI ""ISAAC PERAL""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"glorieta de rufino novalvos 5, 28025, Madrid (Carabanchel).",914726780,,http://www.educa.madrid.org/cp.isaacperal.madrid,cp.isaacperal.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,17 min,40 min,1 h y 54,17,40,114
28031488,"CP INF-PRI ""JULIAN BESTEIRO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de abrantes 79, 28025, Madrid (Carabanchel).",915600091/682546900,915655204,http://www.educa.madrid.org/cp.julianbesteiro.madrid,cp.julianbesteiro.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,14 min,41 min,1 h y 56,14,41,116
28010783,"CP INF-PRI ""LOPE DE VEGA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de inglaterra 8, 28019, Madrid (Carabanchel).",914710955,914721124,http://www.educa.madrid.org/cp.lopedevega.madrid,cp.lopedevega.madrid@educa.madrid.org,Jornada partida,Madrid(Carabanchel),InfII - Pri,13 min,56 min,1 h y 37,13,56,97
28072466,"CP INF-PRI ""MAESTRO PADILLA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de la peseta c/v vía lusitana s/n, 28054, Madrid (Carabanchel).",911731852/699502387,911724720,http://www.educa.madrid.org/cp.maestropadilla.madrid,cp.maestropadilla.madrid@educa.madrid.org,Jornada partida,Madrid(Carabanchel),InfII - Pri,13 min,54 min,2 h y 25,13,54,145
28031051,"CP INF-PRI ""MIGUEL SERVET""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de la fragata 33, 28019, Madrid (Carabanchel).",914611757/660637213,914627953,http://www.educa.madrid.org/cp.miguelservet.madrid,cp.miguelservet.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,16 min,42 min,1 h y 56,16,42,116
28035548,"CP INF-PRI ""PARQUE EUGENIA DE MONTIJO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del parque eugenia de montijo 28-A, 28047, Madrid (Carabanchel).",914615653/697692296,914615603,http://www.educa.madrid.org/cp.eugeniademontijo.madrid,cp.eugeniademontijo.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,20 min,57 min,2 h y 25,20,57,145
28006056,"CP INF-PRI ""PERU""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de baleares 18, 28019, Madrid (Carabanchel).",915691465/915607526,915692867,http://www.educa.madrid.org/cp.peru.madrid,cp.peru.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfI - InfII - Pri EDES,12 min,39 min,1 h y 30,12,39,90
28063763,"CP INF-PRI ""PINAR DE SAN JOSE""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle patrimonio de la humanidad 39, 28054, Madrid (Carabanchel).",915112417/636670173,915112418,http://www.educa.madrid.org/cp.pinardesanjose.madrid,cp.pinardesanjose.madrid@educa.madrid.org,Jornada partida,Madrid(Carabanchel),InfII - Pri - EDES,17 min,59 min,2 h y 52,17,59,172
28010965,"CP INF-PRI ""REPUBLICA DE COLOMBIA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"plaza de alloz 3, 28025, Madrid (Carabanchel).",914650587,914650587,http://www.educa.madrid.org/cp.colombia.madrid,cp.colombia.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,17 min,46 min,2 h y 10,17,46,130
28006172,"CP INF-PRI ""REPUBLICA DE ECUADOR""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del valle de oro 41, 28019, Madrid (Carabanchel).",914603284/915600937,914603284,http://www.educa.madrid.org/cp.ecuador.madrid,cp.ecuador.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,13 min,37 min,1 h y 51,13,37,111
28006160,"CP INF-PRI ""REPUBLICA DOMINICANA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"ronda de don bosco 2, 28044, Madrid (Carabanchel).",914629060,914662819,http://www.educa.madrid.org/cp.republicadominicana.madrid,cp.republicadominicana.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,18 min,50 min,2 h y 24,18,50,144
28006305,"CP INF-PRI ""SAN IGNACIO DE LOYOLA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de abrantes 1, 28025, Madrid (Carabanchel).",915651989,914698461,http://www.educa.madrid.org/cp.sanignacio.madrid,cp.sanignacio.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),InfII - Pri,13 min,37 min,1 h y 46,13,37,106
28029664,"CP EE ""INMACULADA CONCEPCION""",COLEGIO DE EDUCACIÓN ESPECIAL,Público,AYUNTAMIENTO,Madrid-Capital,"calle de saldaña 30, 28019, Madrid (Carabanchel).",914715093/914719797,914724692,http://www.educa.madrid.org/cpee.inmaculadaconcepcion.madrid,cpee.inmaculadaconcepcion.madrid@educa.madrid.org,Jornada partida,Madrid(Carabanchel),EDES,16 min,42 min,1 h y 44,16,42,104
28005556,"CP EE ""MARIA SORIANO""",COLEGIO DE EDUCACIÓN ESPECIAL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de la peseta 30, 28054, Madrid (Carabanchel).",914624600/680472804,914628444,http://www.educa.madrid.org/cpee.mariasoriano.madrid,cpee.mariasoriano.madrid@educa.madrid.org,Jornada partida,Madrid(Carabanchel),EDES,16 min,56 min,2 h y 49,16,56,169
28045293,"CEPA ""OPORTO""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"avenida de oporto 46-48, 28019, Madrid (Carabanchel).",915608402,914697543,http://www.educa.madrid.org/cepa.oporto.madrid,cepa.oporto.madrid@educa.madrid.org,Sin tipo de jornada identificada,Madrid(Carabanchel),PProf - EPA,13 min,38 min,1 h y 52,13,38,112
28042929,"CEPA ""PAN BENDITO""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del camino viejo de leganés 188, 28025, Madrid (Carabanchel).",915600590,914608833,http://www.educa.madrid.org/cepa.panbendito.madrid,cepa.panbendito.madrid@educa.madrid.org,Sin tipo de jornada identificada,Madrid(Carabanchel),FPB - PProf - EPA,17 min,44 min,2 h y 6,17,44,126
28044501,"CEPA ""VISTA ALEGRE""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del general ricardos 179bi, 28025, Madrid (Carabanchel).",914618817/629376598,,http://www.educa.madrid.org/cepa.vistaalegre.madrid,cepa.vistaalegre.madrid@educa.madrid.org,Sin tipo de jornada identificada,Madrid(Carabanchel),FPB - PProf - EPA,17 min,46 min,2 h y 4,17,46,124
28056114,"UFIL ""PUERTA BONITA""",UNIDAD DE FORMACIÓN E INSERCIÓN LABORAL,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del padre amigo 5, 28025, Madrid (Carabanchel).",915251402,914285751,http://www.educa.madrid.org/ufil.puertabonita.madrid,ufil.puertabonita.madrid@educa.madrid.org,Sin tipo de jornada identificada,Madrid(Carabanchel),PProf,18 min,53 min,2 h y 12,18,53,132
28701081,"CET ""PRADERA DE SAN ISIDRO""",CENTRO EDUCATIVO-TERAPÉUTICO,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del gorrión 2, 28019, Madrid (Carabanchel).",914719359,914719359,http://www.educa.madrid.org/cet.praderadesanisidro.madrid,cet.praderadesanisidro.madrid@educa.madrid.org,,Madrid(Carabanchel),,15 min,49 min,1 h y 43,15,49,103
28020961,"IES ""CALDERON DE LA BARCA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de antonio de leyva 84, 28019, Madrid (Carabanchel).",915608300/915609329,915650795,http://www.educa.madrid.org/ies.calderondelabar.madrid,ies.calderondelabar.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),ESO - Bach - FPB FPGM - FPGS,11 min,36 min,1 h y 39,11,36,99
28018435,"IES ""EMILIO CASTELAR""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de río de oro 4, 28019, Madrid (Carabanchel).",914713243/914723397,914729058,http://www.educa.madrid.org/ies.emiliocastelar.madrid,ies.emiliocastelar.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),ESO - Bach,16 min,36 min,1 h y 50,16,36,110
28020958,"IES ""EMPERATRIZ MARIA DE AUSTRIA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de antonio de leyva 84, 28019, Madrid (Carabanchel).",914692425/915609505,915650794,http://www.educa.madrid.org/ies.emperatrizmaria.madrid,ies.emperatrizmaria.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),ESO - Bach,11 min,36 min,1 h y 39,11,36,99
28074918,"IES ""FRANCISCO AYALA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del jacobeo 33, 28054, Madrid (Carabanchel).",915116804,915080647,http://www.educa.madrid.org/ies.franciscoayala.madrid,ies.franciscoayala.madrid@educa.madrid.org,Sin tipo de jornada identificada,Madrid(Carabanchel),ESO - Bach,16 min,57 min,2 h y 47,16,57,167
28048282,"IES ""PUERTA BONITA""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del padre amigo 5, 28025, Madrid (Carabanchel).",914661744/914661961,914629367,http://www.educa.madrid.org/ies.puertabonita.madrid,ies.puertabonita.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),FPB - FPGM - FPGS,17 min,53 min,2 h y 12,17,53,132
28057271,"IES ""RENACIMIENTO""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de castellflorite 4, 28019, Madrid (Carabanchel).",914615211,915256849,http://www.educa.madrid.org/ies.renacimiento.madrid,ies.renacimiento.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),ESO - Bach - FPB FPGM - FPGS,17 min,41 min,1 h y 57,17,41,117
28021008,"IES ""VISTA ALEGRE""",INSTITUTO DE EDUCACIÓN SECUNDARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del general ricardos 177, 28025, Madrid (Carabanchel).",914628600,915258200,http://www.educa.madrid.org/ies.vistaalegre.madrid,ies.vistaalegre.madrid@educa.madrid.org,Jornada continua,Madrid(Carabanchel),ESO - Bach - FPB FPGM - FPGS,17 min,47 min,2 h y 3,17,47,123
28010874,"CP INF-PRI ""ANTONIO MORENO ROSALES""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del olmo 4, 28012, Madrid (Centro).",680694982,,http://www.educa.madrid.org/cp.antoniomorenoro.madrid,cp.antoniomorenoro.madrid@educa.madrid.org,Jornada partida,Madrid(Centro),InfII - Pri,14 min,24 min,1 h y 2,14,24,62
28005349,"CP INF-PRI ""EMILIA PARDO BAZAN""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del ventorrillo 14, 28005, Madrid (Centro).",915306059,,http://www.educa.madrid.org/cp.pardobazan.madrid,cp.pardobazan.madrid@educa.madrid.org,Jornada continua,Madrid(Centro),InfII - Pri,13 min,33 min,1 h y 8,13,33,68
28010710,"CP INF-PRI ""ISABEL LA CATOLICA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de barceló 2, 28004, Madrid (Centro).",915217840/669482017,915229393,http://www.educa.madrid.org/cp.isabellacatolica.madrid,cp.isabellacatolica.madrid@educa.madrid.org,Jornada partida,Madrid(Centro),InfII - Pri,14 min,33 min,1 h y 12,14,33,72
28013309,"CP INF-PRI ""NUESTRA SEÑORA DE LA PALOMA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de tabernillas 2, 28005, Madrid (Centro).",913640630/913653675,913653675,http://www.educa.madrid.org/cp.paloma.madrid,cp.paloma.madrid@educa.madrid.org,Jornada partida,Madrid(Centro),InfII - Pri,13 min,36 min,1 h y 14,13,36,74
28010916,"CP INF-PRI ""PALACIO VALDES""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"paseo del prado 38, 28014, Madrid (Centro).",914203370/913695034,914203370,http://www.educa.madrid.org/cp.palaciovaldes.madrid,cp.palaciovaldes.madrid@educa.madrid.org,Jornada partida,Madrid(Centro),InfII - Pri,11 min,20 min,50 min,11,20,50
28010679,"CP INF-PRI ""PI I MARGALL""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"plaza del dos de mayo 2, 28004, Madrid (Centro).",915323420/915231075,915231075,http://www.educa.madrid.org/cp.piimargall.madrid,cp.piimargall.madrid@educa.madrid.org,Jornada partida,Madrid(Centro),InfII - Pri,16 min,36 min,1 h y 17,16,36,77
28006317,"CP INF-PRI ""SAN ILDEFONSO""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,AYUNTAMIENTO,Madrid-Capital,"calle de alfonso vi 1, 28005, Madrid (Centro).",913643923,913641170,http://www.educa.madrid.org/cp.sanildefonso.madrid,cp.sanildefonso.madrid@educa.madrid.org,Jornada partida,Madrid(Centro),InfII - Pri,14 min,32 min,1 h y 16,14,32,76
28006381,"CP INF-PRI ""SANTA MARIA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle del casino 7, 28005, Madrid (Centro).",915275281/650034941,914673704,http://www.educa.madrid.org/cp.santamaria.madrid,cp.santamaria.madrid@educa.madrid.org,Jornada partida,Madrid(Centro),InfII - Pri,14 min,32 min,1 h y 9,14,32,69
28011040,"CP INF-PRI ""VAZQUEZ DE MELLA""",COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de bailén 18, 28005, Madrid (Centro).",913654878/608670622,913665312,http://www.educa.madrid.org/cp.vazquezdemella.madrid,cp.vazquezdemella.madrid@educa.madrid.org,Jornada partida,Madrid(Centro),InfII - Pri,13 min,40 min,1 h y 18,13,40,78
28059361,"CEPA ""DISTRITO CENTRO""",CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS,Público,COMUNIDAD DE MADRID,Madrid-Capital,"calle de san bernardo (edificio i.e.s lope de vega) 70, piso: 2º, 28015, Madrid (Centro).",915329959,915329959,http://www.educa.madrid.org/cepa.centro.madrid,cepa.centro.madrid@educa.madrid.org,Sin tipo de jornada identificada,Madrid(Centro),PProf - EPA,15 min,43 min,1 h y 19,15,43,79
